Ngày,Khu vực,Tổng tin bán,Lượt xem khu vực,Tin cắt lỗ,% Cắt lỗ,Đăng hôm nay,% Hôm nay,Giá bán TB (tr/m²),% Tăng giá YoY
2026-03-09,Nam Từ Liêm,2276,2782,5,16.67,0,,90.3,35.0
2026-03-09,Cầu Giấy,1853,5012,3,10.0,2,6.67,123.1,45.0
2026-03-09,Hà Đông,1778,3654,3,10.0,2,6.67,82.2,
2026-03-09,Hoàng Mai,1436,3035,2,6.67,0,,82.3,50.0
2026-03-09,Thanh Xuân,1358,2992,9,30.0,2,6.67,97.6,
2026-03-09,Tây Hồ,963,1697,0,,0,,135.8,
2026-03-09,Bắc Từ Liêm,855,1453,6,20.0,1,3.33,102.0,
2026-03-09,Gia Lâm,710,,4,13.33,1,3.33,74.3,
2026-03-09,Long Biên,649,3179,1,4.35,0,,80.5,
2026-03-09,Hoài Đức,557,,1,4.17,0,,78.1,56.0
2026-03-09,Đống Đa,520,3857,2,6.67,6,20.0,84.6,
2026-03-09,Hai Bà Trưng,432,2731,10,43.48,0,,102.0,
2026-03-09,Ba Đình,259,2479,5,22.73,0,,137.2,
2026-03-09,Đông Anh,176,,3,13.64,0,,89.0,
2026-03-09,Đan Phượng,68,,1,4.76,0,,66.6,
2026-03-09,Nam Từ Liêm,2421,2782,5,16.67,15,50.0,93.0,35.0
2026-03-09,Cầu Giấy,1942,5012,2,6.67,15,50.0,122.3,45.0
2026-03-09,Hà Đông,1880,3654,3,10.0,13,43.33,80.7,
2026-03-09,Hoàng Mai,1565,3035,2,6.67,19,63.33,79.3,50.0
2026-03-09,Thanh Xuân,1419,2992,7,23.33,11,36.67,97.2,
2026-03-09,Tây Hồ,1013,1697,0,,8,26.67,138.3,
2026-03-09,Bắc Từ Liêm,923,1453,5,16.67,17,56.67,101.5,
2026-03-09,Gia Lâm,776,,7,23.33,20,66.67,74.6,
2026-03-09,Long Biên,698,3179,2,8.7,5,21.74,79.5,
2026-03-09,Hoài Đức,601,,2,8.33,7,29.17,77.1,56.0
2026-03-09,Đống Đa,557,3857,3,10.0,13,43.33,89.9,
2026-03-09,Hai Bà Trưng,451,2731,13,56.52,9,39.13,101.5,
2026-03-09,Ba Đình,271,2479,4,16.67,12,50.0,132.3,
2026-03-09,Đông Anh,193,,3,13.64,4,18.18,86.6,
2026-03-09,Đan Phượng,74,,3,14.29,17,80.95,64.2,
2026-03-09,Thanh Trì,413,,3,13.04,11,47.83,78.8,46.0
2026-03-09,Nam Từ Liêm,2419,2782,5,16.67,15,50.0,93.0,35.0
2026-03-09,Cầu Giấy,1937,5012,2,6.67,15,50.0,122.3,45.0
2026-03-09,Hà Đông,1882,3654,3,10.0,13,43.33,80.7,
2026-03-09,Hoàng Mai,1566,3035,2,6.67,19,63.33,79.3,50.0
2026-03-09,Thanh Xuân,1414,2992,7,23.33,11,36.67,97.2,
2026-03-09,Tây Hồ,1009,1697,0,,8,26.67,138.3,
2026-03-09,Bắc Từ Liêm,0,,0,,0,,,
2026-03-09,Gia Lâm,0,,0,,0,,,
2026-03-09,Long Biên,0,,0,,0,,,
2026-03-09,Hoài Đức,600,,2,8.33,7,29.17,77.1,56.0
2026-03-09,Đống Đa,0,,0,,0,,,
2026-03-09,Hai Bà Trưng,0,,0,,0,,,
2026-03-09,Thanh Trì,0,,0,,0,,,
2026-03-09,Ba Đình,271,2479,4,16.67,12,50.0,139.1,
2026-03-09,Đông Anh,193,,3,13.64,5,22.73,83.2,
2026-03-09,Đan Phượng,0,,0,,0,,,
2026-03-10,Nam Từ Liêm,0,,0,,0,,,
2026-03-10,Cầu Giấy,1942,5012,1,3.33,0,,121.5,45.0
2026-03-10,Hà Đông,1881,3654,3,10.0,0,,81.1,
2026-03-10,Hoàng Mai,0,,0,,0,,,
2026-03-10,Thanh Xuân,1406,2992,7,23.33,0,,97.2,
2026-03-10,Tây Hồ,0,,0,,0,,,
2026-03-10,Bắc Từ Liêm,0,,0,,0,,,
2026-03-10,Gia Lâm,778,,8,26.67,0,,75.9,
2026-03-10,Long Biên,699,3179,2,8.7,0,,79.5,
2026-03-10,Hoài Đức,601,,2,8.33,0,,77.1,56.0
2026-03-10,Đống Đa,558,2359,3,10.0,0,,92.4,
2026-03-10,Hai Bà Trưng,452,1691,13,56.52,0,,101.7,
2026-03-10,Thanh Trì,412,,3,13.04,0,,78.9,46.0
2026-03-10,Ba Đình,269,2479,3,12.5,0,,159.5,
2026-03-10,Đông Anh,193,,3,13.64,0,,83.2,
2026-03-10,Đan Phượng,73,,3,14.29,0,,64.2,
2026-03-10,Nam Từ Liêm,0,,0,,0,,,
2026-03-10,Cầu Giấy,2005,3080,2,6.67,15,50.0,115.6,45.0
2026-03-10,Hà Đông,1908,2363,3,10.0,14,46.67,79.0,
2026-03-10,Hoàng Mai,1583,2051,2,6.67,10,33.33,79.9,50.0
2026-03-10,Thanh Xuân,1412,1912,6,20.0,12,40.0,96.1,
2026-03-10,Tây Hồ,1046,1144,0,,9,30.0,140.6,
2026-03-10,Bắc Từ Liêm,956,,6,20.0,14,46.67,101.9,
2026-03-10,Gia Lâm,816,,10,33.33,14,46.67,73.4,
2026-03-10,Long Biên,704,1964,1,4.35,10,43.48,81.0,
2026-03-10,Hoài Đức,625,,1,4.35,9,39.13,78.6,56.0
2026-03-10,Đống Đa,567,2359,4,13.33,13,43.33,92.0,
2026-03-10,Hai Bà Trưng,0,,0,,0,,,
2026-03-10,Thanh Trì,415,,3,12.5,9,37.5,76.1,46.0
2026-03-10,Ba Đình,282,1505,2,8.33,13,54.17,161.1,
2026-03-10,Đông Anh,203,,3,13.64,6,27.27,94.5,
2026-03-10,Đan Phượng,77,,1,4.76,9,42.86,71.9,
2026-03-10,Nam Từ Liêm,2486,,4,13.33,1,3.33,94.2,35.0
2026-03-10,Cầu Giấy,2008,1444,2,6.67,1,3.33,115.6,45.0
2026-03-10,Hà Đông,1906,1104,3,10.0,2,6.67,78.8,
2026-03-10,Hoàng Mai,0,,0,,0,,,
2026-03-10,Thanh Xuân,1410,,6,20.0,0,,96.1,
2026-03-10,Tây Hồ,1047,,0,,1,3.33,140.6,
2026-03-10,Bắc Từ Liêm,956,,6,20.0,4,13.33,101.9,
2026-03-10,Gia Lâm,809,,10,33.33,0,,73.6,
2026-03-10,Long Biên,703,1964,1,4.35,0,,81.0,
2026-03-10,Hoài Đức,626,,1,4.35,0,,78.6,56.0
2026-03-10,Đống Đa,566,1232,4,13.33,0,,92.0,
2026-03-10,Hai Bà Trưng,0,,0,,0,,,
2026-03-10,Thanh Trì,414,,3,12.5,0,,76.1,46.0
2026-03-10,Ba Đình,0,,0,,0,,,
2026-03-10,Đông Anh,203,,3,13.64,0,,94.5,
2026-03-10,Đan Phượng,77,,1,4.76,0,,71.9,
2026-03-11,Nam Từ Liêm,2473,,2,6.67,10,33.33,94.3,35.0
2026-03-11,Cầu Giấy,1948,1444,2,6.67,12,40.0,113.4,45.0
2026-03-11,Hà Đông,1881,1104,3,10.0,10,33.33,79.0,
2026-03-11,Hoàng Mai,1597,1010,2,6.67,9,30.0,81.2,50.0
2026-03-11,Thanh Xuân,1395,,6,20.0,6,20.0,96.6,
2026-03-11,Tây Hồ,1055,,0,,5,16.67,134.0,
2026-03-11,Bắc Từ Liêm,946,,9,30.0,19,63.33,97.2,
2026-03-11,Gia Lâm,0,,0,,0,,,
2026-03-11,Long Biên,0,,0,,0,,,
2026-03-11,Hoài Đức,625,,1,4.35,8,34.78,78.2,56.0
2026-03-11,Đống Đa,548,1232,4,13.33,15,50.0,90.1,
2026-03-11,Hai Bà Trưng,0,,0,,0,,,
2026-03-11,Thanh Trì,413,,3,12.5,6,25.0,79.5,46.0
2026-03-11,Ba Đình,279,,3,12.5,10,41.67,160.9,
2026-03-11,Đông Anh,0,,0,,0,,,
2026-03-11,Đan Phượng,74,,2,9.52,6,28.57,73.3,
2026-03-12,Nam Từ Liêm,2520,5237,4,13.33,16,53.33,94.3,35.0
2026-03-12,Cầu Giấy,1955,11594,3,10.0,19,63.33,108.9,45.0
2026-03-12,Hà Đông,1878,6560,0,,10,33.33,73.1,
2026-03-12,Hoàng Mai,1623,6929,1,3.33,17,56.67,77.9,50.0
2026-03-12,Thanh Xuân,1384,6835,4,13.33,14,46.67,99.2,
2026-03-12,Tây Hồ,1068,3536,1,3.33,11,36.67,129.6,
2026-03-12,Bắc Từ Liêm,965,3205,6,20.0,15,50.0,98.1,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1784,2,8.33,10,41.67,79.4,56.0
2026-03-12,Đống Đa,551,8935,3,10.0,20,66.67,75.6,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,421,1649,2,8.0,5,20.0,77.9,46.0
2026-03-12,Ba Đình,278,5021,3,12.5,8,33.33,153.7,
2026-03-12,Đông Anh,206,1681,3,14.29,4,19.05,103.3,
2026-03-12,Đan Phượng,67,,1,5.0,12,60.0,71.7,
2026-03-12,Nam Từ Liêm,2522,5237,5,16.67,16,53.33,95.1,35.0
2026-03-12,Cầu Giấy,0,,0,,0,,,
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,1623,6929,1,3.33,17,56.67,77.9,50.0
2026-03-12,Thanh Xuân,1383,6835,4,13.33,14,46.67,99.2,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,965,3205,6,20.0,15,50.0,98.1,
2026-03-12,Gia Lâm,0,,0,,0,,,
2026-03-12,Long Biên,703,5540,1,4.17,11,45.83,81.6,
2026-03-12,Hoài Đức,0,,0,,0,,,
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,435,5843,13,54.17,5,20.83,101.6,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,278,5021,3,12.5,8,33.33,153.7,
2026-03-12,Đông Anh,206,1681,3,14.29,4,19.05,103.3,
2026-03-12,Đan Phượng,67,,1,5.0,12,60.0,71.7,
2026-03-12,Nam Từ Liêm,2522,5237,5,16.67,16,53.33,95.1,35.0
2026-03-12,Cầu Giấy,1953,11594,3,10.0,19,63.33,108.4,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,0,,0,,0,,,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,963,3205,6,20.0,15,50.0,98.1,
2026-03-12,Gia Lâm,797,1163,7,23.33,16,53.33,73.4,
2026-03-12,Long Biên,702,5540,1,4.17,11,45.83,81.6,
2026-03-12,Hoài Đức,634,1784,2,8.33,10,41.67,79.4,56.0
2026-03-12,Đống Đa,550,8935,3,10.0,20,66.67,75.6,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,66,,1,5.0,12,60.0,71.7,
2026-03-12,Nam Từ Liêm,2522,5237,5,16.67,16,53.33,95.1,35.0
2026-03-12,Cầu Giấy,1953,11594,3,10.0,19,63.33,110.6,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,1622,6929,1,3.33,17,56.67,77.9,50.0
2026-03-12,Thanh Xuân,1382,6835,4,13.33,14,46.67,99.2,
2026-03-12,Tây Hồ,1065,3536,1,3.33,11,36.67,129.6,
2026-03-12,Bắc Từ Liêm,0,,0,,0,,,
2026-03-12,Gia Lâm,797,1163,7,23.33,16,53.33,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1784,2,8.33,10,41.67,79.4,56.0
2026-03-12,Đống Đa,550,8935,5,16.67,20,66.67,79.7,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,421,1649,3,12.0,5,20.0,77.9,46.0
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2523,5237,5,16.67,16,53.33,95.6,35.0
2026-03-12,Cầu Giấy,1953,11594,3,10.0,19,63.33,110.7,45.0
2026-03-12,Hà Đông,1876,6560,0,,10,33.33,73.1,
2026-03-12,Hoàng Mai,1622,6929,1,3.33,17,56.67,77.9,50.0
2026-03-12,Thanh Xuân,1382,6835,4,13.33,14,46.67,99.2,
2026-03-12,Tây Hồ,1065,3536,1,3.33,11,36.67,129.6,
2026-03-12,Bắc Từ Liêm,963,3205,6,20.0,15,50.0,98.1,
2026-03-12,Gia Lâm,796,1163,7,23.33,16,53.33,73.4,
2026-03-12,Long Biên,703,5540,1,4.17,11,45.83,81.6,
2026-03-12,Hoài Đức,634,1784,2,8.33,10,41.67,79.4,56.0
2026-03-12,Đống Đa,0,,0,,0,,,
2026-03-12,Hai Bà Trưng,435,5843,13,54.17,5,20.83,101.6,
2026-03-12,Thanh Trì,421,1649,3,12.0,5,20.0,77.9,46.0
2026-03-12,Ba Đình,278,5021,3,12.5,8,33.33,155.6,
2026-03-12,Đông Anh,0,,0,,0,,,
2026-03-12,Đan Phượng,66,,1,3.57,12,42.86,73.8,
2026-03-12,Nam Từ Liêm,2522,5237,5,16.67,16,53.33,95.6,35.0
2026-03-12,Cầu Giấy,1953,11594,3,10.0,19,63.33,110.7,45.0
2026-03-12,Hà Đông,0,,0,,0,,,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1380,6835,4,13.33,14,46.67,99.2,
2026-03-12,Tây Hồ,0,,0,,0,,,
2026-03-12,Bắc Từ Liêm,962,3205,6,20.0,0,,98.1,
2026-03-12,Gia Lâm,793,1163,7,23.33,0,,73.4,
2026-03-12,Long Biên,0,,0,,0,,,
2026-03-12,Hoài Đức,634,1784,2,8.33,0,,79.4,56.0
2026-03-12,Đống Đa,550,8935,5,16.67,0,,79.7,
2026-03-12,Hai Bà Trưng,437,5843,13,54.17,0,,101.6,
2026-03-12,Thanh Trì,421,1649,3,12.0,0,,77.9,46.0
2026-03-12,Ba Đình,0,,0,,0,,,
2026-03-12,Đông Anh,206,1681,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,0,,0,,0,,,
2026-03-12,Nam Từ Liêm,2521,5237,5,16.67,0,,95.6,35.0
2026-03-12,Cầu Giấy,1955,9926,3,10.0,0,,110.7,45.0
2026-03-12,Hà Đông,1875,5690,0,,0,,73.1,
2026-03-12,Hoàng Mai,0,,0,,0,,,
2026-03-12,Thanh Xuân,1380,6835,4,13.33,0,,99.2,
2026-03-12,Tây Hồ,1063,3019,1,3.33,0,,129.6,
2026-03-12,Bắc Từ Liêm,962,3205,6,20.0,0,,98.1,
2026-03-12,Gia Lâm,793,1163,7,23.33,0,,73.4,
2026-03-12,Long Biên,703,5540,1,4.17,0,,81.6,
2026-03-12,Hoài Đức,634,1784,2,8.33,0,,79.4,56.0
2026-03-12,Đống Đa,550,8935,5,16.67,0,,79.7,
2026-03-12,Hai Bà Trưng,0,,0,,0,,,
2026-03-12,Thanh Trì,0,,0,,0,,,
2026-03-12,Ba Đình,278,5021,3,12.5,0,,174.4,
2026-03-12,Đông Anh,206,1426,3,14.29,0,,103.3,
2026-03-12,Đan Phượng,66,,1,5.0,0,,71.7,
